Row,Day,Day.Of.Week,Date,Page.Loads,Cases,First.Time.Visits,Returning.Visits
62,Friday,6,11/14/2014,3382,2423,2061,362
63,Saturday,7,11/15/2014,2085,1488,128,208
64,Sunday,1,11/16/2014,3083,2215,1926,289
65,Monday,2,11/17/2014,486,3559,3069,490
66,Tuesday,3,11/18/2014,4893,357,3133,437
67,Wednesday,4,11/19/2014,4866,3544,3056,488
68,Thursday,5,11/20/2014,4584,3357,2899,458
69,Friday,6,11/21/2014,3914,275,2361,389
70,Saturday,7,11/22/2014,2431,1716,1463,253
71,Sunday,1,11/23/2014,3157,2369,2082,287
72,Monday,2,11/24/2014,5045,3615,3146,469
73,Tuesday,3,11/25/2014,4746,3236,2821,415
74,Wednesday,4,11/26/2014,4314,2919,2513,406
75,Thursday,5,11/27/2014,3663,2476,2162,314
76,Friday,6,11/28/2014,327,2268,1931,337
77,Saturday,7,11/29/2014,2905,1976,1695,281
78,Sunday,1,11/30/2014,4016,2832,2489,343
79,Monday,2,12/1/2014,5266,3877,3317,560
80,Tuesday,3,12/2/2014,5795,4274,37,574
81,Wednesday,4,12/3/2014,5728,4217,3656,561
82,Thursday,5,12/4/2014,5293,383,3295,535
83,Friday,6,12/5/2014,3934,2856,2479,377
84,Saturday,7,12/6/2014,3071,2165,1855,310
85,Sunday,1,12/7/2014,3876,2984,2582,402
86,Monday,2,12/8/2014,5878,4375,3829,546
87,Tuesday,3,12/9/2014,5712,4187,3635,552
88,Wednesday,4,12/10/2014,5491,4074,348,594
89,Thursday,5,12/11/2014,5144,3801,3247,554
90,Friday,6,12/12/2014,388,286,2418,442
91,Saturday,7,12/13/2014,2605,1838,1538,300
92,Sunday,1,12/14/2014,3625,265,2259,391
93,Monday,2,12/15/2014,4685,3478,3,478
94,Tuesday,3,12/16/2014,4891,3338,2861,477
95,Wednesday,4,12/17/2014,4222,3053,2606,447
96,Thursday,5,12/18/2014,3691,269,2275,415
97,Friday,6,12/19/2014,2748,1879,1559,320
98,Saturday,7,12/20/2014,138,1011,836,175
99,Sunday,1,12/21/2014,1474,1054,876,178
100,Monday,2,12/22/2014,2452,1715,1394,321
101,Tuesday,3,12/23/2014,2298,144,1159,281
102,Wednesday,4,12/24/2014,143,947,772,175
103,Thursday,5,12/25/2014,1002,667,522,145
104,Friday,6,12/26/2014,1486,1005,808,197
105,Saturday,7,12/27/2014,1345,941,781,160
106,Sunday,1,12/28/2014,1453,948,765,183
107,Monday,2,12/29/2014,2173,1472,1228,244
108,Tuesday,3,12/30/2014,2208,1424,1172,252
109,Wednesday,4,12/31/2014,1381,955,773,182
110,Thursday,5,1/1/2015,1265,876,715,161
111,Friday,6,1/2/2015,1948,1288,103,258
112,Saturday,7,1/3/2015,1742,1096,946,150
113,Sunday,1,1/4/2015,1896,1409,1186,223
114,Monday,2,1/5/2015,3033,2062,1706,356
115,Tuesday,3,1/6/2015,3445,2327,1942,385
116,Wednesday,4,1/7/2015,3423,2384,1991,393
117,Thursday,5,1/8/2015,3319,2272,1922,350
118,Friday,6,1/9/2015,2783,1941,1663,278
119,Saturday,7,1/10/2015,1952,124,1066,174
120,Sunday,1,1/11/2015,2245,1611,1391,220
121,Monday,2,1/12/2015,3928,2518,2125,393
122,Tuesday,3,1/13/2015,381,2621,2239,382
123,Wednesday,4,1/14/2015,3931,2656,2229,427
124,Thursday,5,1/15/2015,3523,2457,2069,388
125,Friday,6,1/16/2015,2943,1928,164,288
126,Saturday,7,1/17/2015,1751,1237,1052,185
127,Sunday,1,1/18/2015,2491,1762,1541,221
128,Monday,2,1/19/2015,3766,2665,2271,394
129,Tuesday,3,1/20/2015,4194,2852,2423,429
130,Wednesday,4,1/21/2015,4038,2916,2482,434
131,Thursday,5,1/22/2015,3891,2702,2334,368
132,Friday,6,1/23/2015,3111,2181,1897,284
133,Saturday,7,1/24/2015,1946,1414,1239,175
134,Sunday,1,1/25/2015,2802,201,174,270
135,Monday,2,1/26/2015,3892,2841,2466,375
136,Tuesday,3,1/27/2015,4172,3003,2592,411
137,Wednesday,4,1/28/2015,4464,328,2862,418
138,Thursday,5,1/29/2015,4377,3143,2679,464
139,Friday,6,1/30/2015,3734,2514,2129,385
140,Saturday,7,1/31/2015,2262,1657,1443,214
141,Sunday,1,2/1/2015,305,2122,1825,297
142,Monday,2,2/2/2015,4794,3366,2867,499
143,Tuesday,3,2/3/2015,4936,3423,2922,501
144,Wednesday,4,2/4/2015,5016,35,3023,477
145,Thursday,5,2/5/2015,4489,317,2753,417
146,Friday,6,2/6/2015,3505,2468,2075,393
147,Saturday,7,2/7/2015,2264,1679,1437,242
148,Sunday,1,2/8/2015,3314,2435,21,335
149,Monday,2,2/9/2015,5095,3619,3125,494
150,Tuesday,3,2/10/2015,5525,3793,3272,521
151,Wednesday,4,2/11/2015,5074,3689,319,499
152,Thursday,5,2/12/2015,4571,3319,281,509
153,Friday,6,2/13/2015,357,2664,2253,411
154,Saturday,7,2/14/2015,2182,1565,1323,242
155,Sunday,1,2/15/2015,3265,2277,1935,342
156,Monday,2,2/16/2015,467,3297,2826,471
157,Tuesday,3,2/17/2015,4764,3452,2957,495
158,Wednesday,4,2/18/2015,4943,3526,3026,500
159,Thursday,5,2/19/2015,479,3307,2811,496
160,Friday,6,2/20/2015,3604,2621,2241,380
161,Saturday,7,2/21/2015,2455,1823,1569,254
162,Sunday,1,2/22/2015,365,269,2329,361
163,Monday,2,2/23/2015,5463,3975,3433,542
164,Tuesday,3,2/24/2015,5884,4112,3542,570
165,Wednesday,4,2/25/2015,5615,4019,3432,587
166,Thursday,5,2/26/2015,5289,3747,3186,561
167,Friday,6,2/27/2015,4434,2969,2486,483
168,Saturday,7,2/28/2015,2665,1977,1694,283
169,Sunday,1,3/1/2015,3907,2906,2519,387
170,Monday,2,3/2/2015,5308,3778,3222,556
171,Tuesday,3,3/3/2015,5773,4025,349,535
172,Wednesday,4,3/4/2015,5585,406,3457,603
173,Thursday,5,3/5/2015,4783,3582,3049,533
174,Friday,6,3/6/2015,3893,2707,2259,448
175,Saturday,7,3/7/2015,2917,2048,1723,325
176,Sunday,1,3/8/2015,3353,2468,2104,364
177,Monday,2,3/9/2015,54,3824,3246,578
178,Tuesday,3,3/10/2015,5395,3926,335,576
179,Wednesday,4,3/11/2015,5229,3859,3263,596
180,Thursday,5,3/12/2015,5371,3784,3204,580
181,Friday,6,3/13/2015,4185,3045,2559,486
182,Saturday,7,3/14/2015,2724,1988,1675,313
183,Sunday,1,3/15/2015,359,262,2196,424
184,Monday,2,3/16/2015,5367,3771,3192,579
185,Tuesday,3,3/17/2015,544,3968,3387,581
186,Wednesday,4,3/18/2015,5465,4043,3458,585
187,Thursday,5,3/19/2015,5318,3813,3262,551
188,Friday,6,3/20/2015,4225,2916,2462,454
189,Saturday,7,3/21/2015,2687,1975,1667,308
190,Sunday,1,3/22/2015,3791,2786,2388,398
191,Monday,2,3/23/2015,5661,3949,3331,618
192,Tuesday,3,3/24/2015,5759,4081,3487,594
193,Wednesday,4,3/25/2015,5599,3983,3378,605
194,Thursday,5,3/26/2015,5103,3755,3184,571
195,Friday,6,3/27/2015,4313,2946,2446,500
196,Saturday,7,3/28/2015,2971,2011,1651,360
197,Sunday,1,3/29/2015,3662,2693,2285,408
198,Monday,2,3/30/2015,5635,3985,3386,599
199,Tuesday,3,3/31/2015,5581,3963,3359,604
200,Wednesday,4,4/1/2015,5329,3761,317,591
201,Thursday,5,4/2/2015,4553,3214,271,504
202,Friday,6,4/3/2015,3423,2404,1988,416
203,Saturday,7,4/4/2015,2708,1807,1512,295
204,Sunday,1,4/5/2015,3306,2266,1895,371
205,Monday,2,4/6/2015,5203,3692,3133,559
206,Tuesday,3,4/7/2015,5712,4104,3456,648
207,Wednesday,4,4/8/2015,5601,4015,3401,614
208,Thursday,5,4/9/2015,5486,4063,343,633
209,Friday,6,4/10/2015,4178,3213,2697,516
210,Saturday,7,4/11/2015,2878,2153,1835,318
211,Sunday,1,4/12/2015,4169,2903,2447,456
212,Monday,2,4/13/2015,6372,4485,3787,698
213,Tuesday,3,4/14/2015,624,4391,3698,693
214,Wednesday,4,4/15/2015,617,4409,3723,686
215,Thursday,5,4/16/2015,6071,4275,3586,689
216,Friday,6,4/17/2015,4682,3307,2741,566
217,Saturday,7,4/18/2015,3208,2291,1894,397
218,Sunday,1,4/19/2015,431,3144,2669,475
219,Monday,2,4/20/2015,6435,4694,3929,765
220,Tuesday,3,4/21/2015,6299,4455,3769,686
221,Wednesday,4,4/22/2015,636,4512,3797,715
222,Thursday,5,4/23/2015,6349,436,3664,696
223,Friday,6,4/24/2015,466,3387,2845,542
224,Saturday,7,4/25/2015,3354,242,2035,385
225,Sunday,1,4/26/2015,4371,3189,2688,501
226,Monday,2,4/27/2015,6534,4731,3977,754
227,Tuesday,3,4/28/2015,6832,4941,4161,780
228,Wednesday,4,4/29/2015,6689,487,411,760
229,Thursday,5,4/30/2015,5849,4086,345,636
230,Friday,6,5/1/2015,4247,3064,2562,502
231,Saturday,7,5/2/2015,3219,236,1958,402
232,Sunday,1,5/3/2015,4211,321,2765,445
233,Monday,2,5/4/2015,6424,4752,4043,709
234,Tuesday,3,5/5/2015,6223,452,3818,702
235,Wednesday,4,5/6/2015,6551,4768,4059,709
236,Thursday,5,5/7/2015,6343,4449,377,679
237,Friday,6,5/8/2015,4696,3366,2824,542
238,Saturday,7,5/9/2015,3134,2239,1846,393
239,Sunday,1,5/10/2015,3868,2844,2365,479
240,Monday,2,5/11/2015,602,4482,3787,695
241,Tuesday,3,5/12/2015,5705,416,349,670
242,Wednesday,4,5/13/2015,5752,4016,3348,668
243,Thursday,5,5/14/2015,5181,3605,3008,597
244,Friday,6,5/15/2015,4269,2913,2404,509
245,Saturday,7,5/16/2015,2633,1818,1473,345
246,Sunday,1,5/17/2015,3336,2376,1988,388
247,Monday,2,5/18/2015,5127,3587,2955,632
248,Tuesday,3,5/19/2015,5449,3767,3149,618
249,Wednesday,4,5/20/2015,5746,3956,3371,585
250,Thursday,5,5/21/2015,5115,3642,3046,596
251,Friday,6,5/22/2015,3995,2749,2243,506
252,Saturday,7,5/23/2015,2618,1884,1585,299
253,Sunday,1,5/24/2015,2961,2117,1763,354
254,Monday,2,5/25/2015,409,2913,2427,486
255,Tuesday,3,5/26/2015,5201,3637,3073,564
256,Wednesday,4,5/27/2015,5321,3797,3146,651
257,Thursday,5,5/28/2015,5219,3509,2887,622
258,Friday,6,5/29/2015,4017,2804,2338,466
259,Saturday,7,5/30/2015,2297,1629,1346,283
260,Sunday,1,5/31/2015,3145,2226,186,366
261,Monday,2,6/1/2015,4905,3419,2797,622
262,Tuesday,3,6/2/2015,4747,3284,2701,583
263,Wednesday,4,6/3/2015,4591,3317,2713,604
264,Thursday,5,6/4/2015,4431,3173,2652,521
265,Friday,6,6/5/2015,3608,2523,2068,455
266,Saturday,7,6/6/2015,2422,1673,1336,337
267,Sunday,1,6/7/2015,3132,2145,179,355
268,Monday,2,6/8/2015,4962,3377,2788,589
269,Tuesday,3,6/9/2015,4881,3469,2862,607
270,Wednesday,4,6/10/2015,5001,3425,2786,639
271,Thursday,5,6/11/2015,4635,3242,2614,628
272,Friday,6,6/12/2015,3545,2494,2066,428
273,Saturday,7,6/13/2015,2262,149,1235,255
274,Sunday,1,6/14/2015,2866,2034,1692,342
275,Monday,2,6/15/2015,4692,3261,2682,579
276,Tuesday,3,6/16/2015,4602,3204,266,544
277,Wednesday,4,6/17/2015,462,3101,2556,545
278,Thursday,5,6/18/2015,4475,2955,2386,569
279,Friday,6,6/19/2015,3564,2422,1954,468
280,Saturday,7,6/20/2015,2071,137,1129,241
281,Sunday,1,6/21/2015,2659,184,1523,317
282,Monday,2,6/22/2015,4338,2963,241,553
283,Tuesday,3,6/23/2015,4531,3139,2566,573
284,Wednesday,4,6/24/2015,4498,3022,2481,541
285,Thursday,5,6/25/2015,4128,273,221,520
286,Friday,6,6/26/2015,3132,2153,1721,432
287,Saturday,7,6/27/2015,1829,1264,1067,197
288,Sunday,1,6/28/2015,2149,1517,1224,293
289,Monday,2,6/29/2015,3975,2691,2169,522
290,Tuesday,3,6/30/2015,4046,2718,218,538
291,Wednesday,4,7/1/2015,3897,2745,2266,479
292,Thursday,5,7/2/2015,3871,254,2072,468
293,Friday,6,7/3/2015,263,1716,1353,363
294,Saturday,7,7/4/2015,1602,1104,900,204
295,Sunday,1,7/5/2015,196,137,1141,229
296,Monday,2,7/6/2015,4143,2655,2171,484
297,Tuesday,3,7/7/2015,4205,2789,2266,523
298,Wednesday,4,7/8/2015,4193,2783,2255,528
299,Thursday,5,7/9/2015,371,2536,2069,467
300,Friday,6,7/10/2015,3137,2203,1767,436
301,Saturday,7,7/11/2015,1834,1145,944,201
302,Sunday,1,7/12/2015,207,1473,1197,276
303,Monday,2,7/13/2015,418,2852,231,542
304,Tuesday,3,7/14/2015,4038,2731,2226,505
305,Wednesday,4,7/15/2015,3906,2667,2119,548
306,Thursday,5,7/16/2015,358,2424,194,484
307,Friday,6,7/17/2015,2948,207,1708,362
308,Saturday,7,7/18/2015,1622,1121,924,197
309,Sunday,1,7/19/2015,2179,148,1214,266
310,Monday,2,7/20/2015,3906,2615,2146,469
311,Tuesday,3,7/21/2015,3745,2596,2071,525
312,Wednesday,4,7/22/2015,4212,2761,2205,556
313,Thursday,5,7/23/2015,3901,2595,2095,500
314,Friday,6,7/24/2015,3292,2207,1785,422
315,Saturday,7,7/25/2015,1819,1229,1016,213
316,Sunday,1,7/26/2015,2068,1562,1286,276
317,Monday,2,7/27/2015,3991,2805,2243,562
318,Tuesday,3,7/28/2015,4073,2862,2361,501
319,Wednesday,4,7/29/2015,4069,2825,2324,501
320,Thursday,5,7/30/2015,3716,2629,2126,503
321,Friday,6,7/31/2015,338,212,1709,411
322,Saturday,7,8/1/2015,1737,1197,958,239
323,Sunday,1,8/2/2015,2181,1567,1282,285
324,Monday,2,8/3/2015,3973,2794,2263,531
325,Tuesday,3,8/4/2015,3997,2794,2269,525
326,Wednesday,4,8/5/2015,4132,2798,2287,511
327,Thursday,5,8/6/2015,3791,2693,2204,489
328,Friday,6,8/7/2015,2968,2139,1738,401
329,Saturday,7,8/8/2015,1752,1266,1021,245
330,Sunday,1,8/9/2015,207,1497,1231,266
331,Monday,2,8/10/2015,392,2684,2139,545
332,Tuesday,3,8/11/2015,4106,2791,2266,525
333,Wednesday,4,8/12/2015,4006,2726,2166,560
334,Thursday,5,8/13/2015,3827,2639,2133,506
335,Friday,6,8/14/2015,2944,1973,1564,409
336,Saturday,7,8/15/2015,1827,1193,954,239
337,Sunday,1,8/16/2015,2373,1658,1369,289
338,Monday,2,8/17/2015,4031,2763,229,473
339,Tuesday,3,8/18/2015,4027,278,2248,532
340,Wednesday,4,8/19/2015,3912,2795,2291,504
341,Thursday,5,8/20/2015,3867,2715,2191,524
342,Friday,6,8/21/2015,3304,2238,1806,432
343,Saturday,7,8/22/2015,1685,1208,1011,197
344,Sunday,1,8/23/2015,213,1542,1282,260
345,Monday,2,8/24/2015,3936,2697,2182,515
346,Tuesday,3,8/25/2015,4029,2744,2203,541
347,Wednesday,4,8/26/2015,401,2789,2237,552
348,Thursday,5,8/27/2015,4027,289,2392,498
349,Friday,6,8/28/2015,2829,2,1585,415
350,Saturday,7,8/29/2015,1736,1227,1023,204
351,Sunday,1,8/30/2015,2517,1686,1416,270
352,Monday,2,8/31/2015,4029,2769,2299,470
353,Tuesday,3,9/1/2015,4261,289,2358,532
354,Wednesday,4,9/2/2015,4058,2923,2442,481
355,Thursday,5,9/3/2015,4392,3007,2466,541
356,Friday,6,9/4/2015,3072,2221,1846,375
357,Saturday,7,9/5/2015,1799,1284,1068,216
358,Sunday,1,9/6/2015,2341,1611,1345,266
359,Monday,2,9/7/2015,333,2354,1963,391
360,Tuesday,3,9/8/2015,4734,3381,2833,548
361,Wednesday,4,9/9/2015,4801,3381,2845,536
362,Thursday,5,9/10/2015,4399,3079,2575,504
363,Friday,6,9/11/2015,3275,2375,1958,417
364,Saturday,7,9/12/2015,2042,1429,1223,206
365,Sunday,1,9/13/2015,2827,2103,1844,259
366,Monday,2,9/14/2015,4836,3437,2954,483
367,Tuesday,3,9/15/2015,484,3465,2944,521
368,Wednesday,4,9/16/2015,4504,3356,2902,454
369,Thursday,5,9/17/2015,4379,324,2736,504
370,Friday,6,9/18/2015,3391,2428,2024,404
371,Saturday,7,9/19/2015,2045,1513,1278,235
372,Sunday,1,9/20/2015,2721,2081,1817,264
373,Monday,2,9/21/2015,463,3535,2998,537
374,Tuesday,3,9/22/2015,4748,354,3004,536
375,Wednesday,4,9/23/2015,4702,3377,2893,484
376,Thursday,5,9/24/2015,444,3309,2827,482
377,Friday,6,9/25/2015,3513,2518,2116,402
378,Saturday,7,9/26/2015,2253,1633,1395,238
379,Sunday,1,9/27/2015,3141,2291,198,311
380,Monday,2,9/28/2015,5122,3808,3289,519
381,Tuesday,3,9/29/2015,5151,3868,3305,563
382,Wednesday,4,9/30/2015,4969,3703,3182,521
383,Thursday,5,10/1/2015,4619,3365,2876,489
384,Friday,6,10/2/2015,3443,2598,2196,402
385,Saturday,7,10/3/2015,2302,1754,1503,251
386,Sunday,1,10/4/2015,3291,2506,2173,333
387,Monday,2,10/5/2015,5206,3737,317,567
388,Tuesday,3,10/6/2015,5474,394,3337,603
389,Wednesday,4,10/7/2015,54,3934,335,584
390,Thursday,5,10/8/2015,5334,3821,3244,577
391,Friday,6,10/9/2015,4174,3022,2547,475
392,Saturday,7,10/10/2015,2571,1853,1597,256
393,Sunday,1,10/11/2015,3572,2636,2283,353
394,Monday,2,10/12/2015,5018,3788,3241,547
395,Tuesday,3,10/13/2015,5565,4159,3536,623
396,Wednesday,4,10/14/2015,542,4048,3403,645
397,Thursday,5,10/15/2015,5366,3908,3331,577
398,Friday,6,10/16/2015,4091,3002,2507,495
399,Saturday,7,10/17/2015,2824,2087,177,317
400,Sunday,1,10/18/2015,3843,2825,2441,384
401,Monday,2,10/19/2015,5516,414,3491,649
402,Tuesday,3,10/20/2015,5572,4121,346,661
403,Wednesday,4,10/21/2015,5243,3882,3298,584
404,Thursday,5,10/22/2015,5133,372,3104,616
405,Friday,6,10/23/2015,4084,2947,2441,506
406,Saturday,7,10/24/2015,2739,1978,1647,331
407,Sunday,1,10/25/2015,3781,2857,2435,422
408,Monday,2,10/26/2015,5684,4073,3417,656
409,Tuesday,3,10/27/2015,5687,4179,3534,645
410,Wednesday,4,10/28/2015,5906,4266,3614,652
411,Thursday,5,10/29/2015,5541,402,3368,652
412,Friday,6,10/30/2015,4171,3043,2501,542
413,Saturday,7,10/31/2015,2586,182,1496,324
414,Sunday,1,11/1/2015,3838,2922,2456,466
415,Monday,2,11/2/2015,5675,4076,3419,657
416,Tuesday,3,11/3/2015,5624,4178,3504,674
417,Wednesday,4,11/4/2015,5794,4316,367,646
418,Thursday,5,11/5/2015,5389,4031,3379,652
419,Friday,6,11/6/2015,4305,3047,2522,525
420,Saturday,7,11/7/2015,3281,2202,1854,348
421,Sunday,1,11/8/2015,379,2837,2418,419
422,Monday,2,11/9/2015,5894,4203,3487,716
423,Tuesday,3,11/10/2015,5461,4048,3388,660
424,Wednesday,4,11/11/2015,5206,3869,3219,650
425,Thursday,5,11/12/2015,5228,3929,3281,648
426,Friday,6,11/13/2015,4097,2971,2436,535
427,Saturday,7,11/14/2015,2694,1964,1616,348
428,Sunday,1,11/15/2015,3893,293,2483,447
429,Monday,2,11/16/2015,6185,455,3872,678
430,Tuesday,3,11/17/2015,6178,4503,3795,708
431,Wednesday,4,11/18/2015,6067,4397,3693,704
432,Thursday,5,11/19/2015,5656,4166,3487,679
433,Friday,6,11/20/2015,4398,3173,2645,528
434,Saturday,7,11/21/2015,2836,2086,1741,345
435,Sunday,1,11/22/2015,3896,2927,2424,503
436,Monday,2,11/23/2015,5814,4236,3543,693
437,Tuesday,3,11/24/2015,5879,414,3475,665
438,Wednesday,4,11/25/2015,48,3457,2836,621
439,Thursday,5,11/26/2015,3838,2825,2334,491
440,Friday,6,11/27/2015,3576,2579,2118,461
441,Saturday,7,11/28/2015,2799,1974,1652,322
442,Sunday,1,11/29/2015,4228,3127,2605,522
443,Monday,2,11/30/2015,6331,457,3817,753
444,Tuesday,3,12/1/2015,638,4743,4027,716
445,Wednesday,4,12/2/2015,6314,4829,4039,790
446,Thursday,5,12/3/2015,616,4584,3835,749
447,Friday,6,12/4/2015,4859,3615,2995,620
448,Saturday,7,12/5/2015,3317,2468,204,428
449,Sunday,1,12/6/2015,4715,355,2972,578
450,Monday,2,12/7/2015,694,5136,4303,833
451,Tuesday,3,12/8/2015,6551,4866,4068,798
452,Wednesday,4,12/9/2015,6327,4761,3961,800
453,Thursday,5,12/10/2015,6212,4578,383,748
454,Friday,6,12/11/2015,4687,3388,2771,617
455,Saturday,7,12/12/2015,3014,2283,1856,427
456,Sunday,1,12/13/2015,4132,3064,2548,516
457,Monday,2,12/14/2015,5989,433,3606,724
458,Tuesday,3,12/15/2015,5331,3967,3309,658
459,Wednesday,4,12/16/2015,5183,3665,3025,640
460,Thursday,5,12/17/2015,4769,3515,2917,598
461,Friday,6,12/18/2015,3627,2518,2071,447
462,Saturday,7,12/19/2015,1857,1319,1087,232
463,Sunday,1,12/20/2015,2221,1489,1204,285
464,Monday,2,12/21/2015,3335,2335,1906,429
465,Tuesday,3,12/22/2015,2883,2047,1639,408
466,Wednesday,4,12/23/2015,2353,1621,1312,309
467,Thursday,5,12/24/2015,1578,1099,886,213
468,Friday,6,12/25/2015,1017,724,586,138
469,Saturday,7,12/26/2015,1334,936,760,176
470,Sunday,1,12/27/2015,169,1155,947,208
471,Monday,2,12/28/2015,2838,1829,1474,355
472,Tuesday,3,12/29/2015,2815,1786,1419,367
473,Wednesday,4,12/30/2015,2382,1618,1292,326
474,Thursday,5,12/31/2015,1587,1035,809,226
475,Friday,6,1/1/2016,1411,960,786,174
476,Saturday,7,1/2/2016,1838,1197,969,228
477,Sunday,1,1/3/2016,218,1562,1279,283
478,Monday,2,1/4/2016,3587,2494,2037,457
479,Tuesday,3,1/5/2016,3855,2742,223,512
480,Wednesday,4,1/6/2016,384,2628,2127,501
481,Thursday,5,1/7/2016,3735,2746,2258,488
482,Friday,6,1/8/2016,3223,2286,186,426
483,Saturday,7,1/9/2016,2207,1531,128,251
484,Sunday,1,1/10/2016,2814,2,1661,339
485,Monday,2,1/11/2016,4007,2976,2444,532
486,Tuesday,3,1/12/2016,4119,2961,2385,576
487,Wednesday,4,1/13/2016,4338,3164,2631,533
488,Thursday,5,1/14/2016,4432,2962,2418,544
489,Friday,6,1/15/2016,3306,2349,1866,483
490,Saturday,7,1/16/2016,2223,1557,1262,295
491,Sunday,1,1/17/2016,2757,2002,1635,367
492,Monday,2,1/18/2016,4047,2898,2373,525
493,Tuesday,3,1/19/2016,4489,319,2566,624
494,Wednesday,4,1/20/2016,4588,3232,2656,576
495,Thursday,5,1/21/2016,4398,3106,2561,545
496,Friday,6,1/22/2016,334,2455,199,465
497,Saturday,7,1/23/2016,2344,1639,1338,301
498,Sunday,1,1/24/2016,2973,2094,1736,358
499,Monday,2,1/25/2016,4638,3205,2649,556
500,Tuesday,3,1/26/2016,4791,3409,2834,575
501,Wednesday,4,1/27/2016,5104,3768,3197,571
502,Thursday,5,1/28/2016,4621,3439,2876,563
503,Friday,6,1/29/2016,3831,2715,2232,483
504,Saturday,7,1/30/2016,2295,169,14,290
505,Sunday,1,1/31/2016,3235,2462,205,412
506,Monday,2,2/1/2016,4918,364,306,580
507,Tuesday,3,2/2/2016,5127,3783,3195,588
508,Wednesday,4,2/3/2016,4794,3575,2999,576
509,Thursday,5,2/4/2016,4788,342,2848,572
510,Friday,6,2/5/2016,3948,2727,2256,471
511,Saturday,7,2/6/2016,2383,1765,1477,288
512,Sunday,1,2/7/2016,295,2231,1839,392
513,Monday,2,2/8/2016,4905,3592,3024,568
514,Tuesday,3,2/9/2016,5353,3931,3299,632
515,Wednesday,4,2/10/2016,5492,4007,3358,649
516,Thursday,5,2/11/2016,5052,3628,3019,609
517,Friday,6,2/12/2016,3764,2807,23,507
518,Saturday,7,2/13/2016,2458,1788,1459,329
519,Sunday,1,2/14/2016,3098,2277,1866,411
520,Monday,2,2/15/2016,4951,3652,3039,613
521,Tuesday,3,2/16/2016,5495,4,3304,696
522,Wednesday,4,2/17/2016,5505,4062,3375,687
